prompt_id,engine,change_type,field,before,after
p-001,synthetic-engine-a,field_change,rank,1,2
p-001,synthetic-engine-a,citation_domain_addition,citation_domain,,news.example.net
p-001,synthetic-engine-a,citation_domain_removal,citation_domain,review.example.org,
p-001,synthetic-engine-b,field_change,availability,true,false
p-001,synthetic-engine-b,field_change,recommendation_label,not_recommended,unavailable
p-001,synthetic-engine-b,citation_domain_removal,citation_domain,docs.example.com,
p-002,synthetic-engine-a,field_change,brand_mention,true,false
p-002,synthetic-engine-a,field_change,recommendation_label,qualified,not_recommended
p-002,synthetic-engine-a,field_change,rank,2,
p-002,synthetic-engine-a,citation_domain_removal,citation_domain,news.example.net,
p-002,synthetic-engine-b,prompt_set_gap,record,present,missing
p-003,synthetic-engine-a,field_change,availability,false,true
p-003,synthetic-engine-a,field_change,brand_mention,false,true
p-003,synthetic-engine-a,field_change,recommendation_label,unavailable,qualified
p-003,synthetic-engine-a,field_change,rank,,4
p-003,synthetic-engine-a,citation_domain_addition,citation_domain,,docs.example.com
p-004,synthetic-engine-a,prompt_set_gap,record,missing,present
