query,metric,engine,numerator,denominator,rate
answer_metrics,answered_rows,chatgpt,3,3,1.0
answer_metrics,answered_rows,gemini,3,3,1.0
answer_metrics,answered_rows,google-ai,4,4,1.0
answer_metrics,answered_rows,perplexity,4,4,1.0
answer_metrics,mention_rate,chatgpt,2,3,0.6667
answer_metrics,mention_rate,gemini,2,3,0.6667
answer_metrics,mention_rate,google-ai,3,4,0.75
answer_metrics,mention_rate,perplexity,3,4,0.75
answer_metrics,recommendation_rate,chatgpt,1,3,0.3333
answer_metrics,recommendation_rate,gemini,1,3,0.3333
answer_metrics,recommendation_rate,google-ai,1,4,0.25
answer_metrics,recommendation_rate,perplexity,2,4,0.5
citation_metrics,brand_citation_rate_answer,chatgpt,1,3,0.3333
citation_metrics,brand_citation_rate_answer,gemini,1,3,0.3333
citation_metrics,brand_citation_rate_answer,google-ai,1,4,0.25
citation_metrics,brand_citation_rate_answer,perplexity,2,4,0.5
citation_metrics,brand_citation_rate_cited_answers,chatgpt,1,2,0.5
citation_metrics,brand_citation_rate_cited_answers,gemini,1,2,0.5
citation_metrics,brand_citation_rate_cited_answers,google-ai,1,3,0.3333
citation_metrics,brand_citation_rate_cited_answers,perplexity,2,3,0.6667
citation_metrics,citation_present_rate_answer,chatgpt,2,3,0.6667
citation_metrics,citation_present_rate_answer,gemini,2,3,0.6667
citation_metrics,citation_present_rate_answer,google-ai,3,4,0.75
citation_metrics,citation_present_rate_answer,perplexity,3,4,0.75
